Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.5432730356424292	0.19783116947719245	0.05584005939309036
2	0.549295472119598	0.2014169160905161	0.05622879728002531
3	0.5423717008497284	0.1982136382458942	0.055269667890049216
4	0.5496318814134064	0.20013199870158782	0.05450355737889574
5	0.5459789854884224	0.201534261459571	0.054563928838246865
6	0.5475045568792628	0.19971691020110577	0.05578191890390872
7	0.5612375248736448	0.20182903569780522	0.05595978932365596
8	0.555589685524367	0.20282601177378223	0.05633718663342572
9	0.5499327132378241	0.20215063025813307	0.05826479374520127
10	0.5396053579819987	0.20671092837479554	0.05690024217250417
11	0.5569144663297425	0.20457700487258482	0.058202513755817614
12	0.553134819088101	0.20874384351723066	0.05793633915795329
13	0.5524097481293379	0.20921957908322694	0.058712797251976034
14	0.5378202227231779	0.20297394778831068	0.06054759862136678
15	0.5506445871585612	0.20658928275785948	0.06159328410045624
16	0.5317341858616907	0.2011102195469373	0.06236266261960529
17	0.5109721050433242	0.1858190420084948	0.05953779172055805
18	0.46095926580111807	0.1710601450022841	0.05484171572229995
19	0.4274491306661715	0.1576331081921874	0.04702936406810086
20	0.41879058543424397	0.1497264665585802	0.041292093581283745
21	0.38340141454567506	0.13918103481213367	0.03347954929093349
22	0.4025650937838343	0.14154012616562067	0.03501843279742476
23	0.4212066678495087	0.14413493699111457	0.03546374485821053
24	0.44976406152044235	0.1555353358835347	0.03811069488436045
25	0.4419779670311946	0.15522546115428096	0.03719534954185044
26	0.4634139454204401	0.1503696106865459	0.03662403596591443
27	0.5064347083536411	0.14519550203059003	0.03577338721251393
28	0.5255628895379592	0.14483590025507184	0.03531715280325133
29	0.4703912850155625	0.14054506366422792	0.034609818254016586
30	0.512380800725148	0.1478896251248071	0.03475324974062434
31	0.47485532070850606	0.13965505848146434	0.03297506958590555
32	0.45440586166736396	0.12653733253048322	0.033017026392238344
33	0.453205500722389	0.13137030056692175	0.03313815026156341
34	0.44565245612213106	0.12715793895216732	0.03248944293249834
35	0.472423639963309	0.1304966958895334	0.0329975456445829
36	0.4143077976714607	0.12397733363447283	0.0333839029698409
37	0.45299004065001136	0.13473590636343433	0.034209629306645624
38	0.46822819457777365	0.13981807946431216	0.034946525901386194
39	0.4626979346673363	0.1415328171830134	0.03591164793240355
40	0.4450106140733226	0.1427487494819204	0.03808469246432148
41	0.4679273270790989	0.15029711118608502	0.0399637381119801
42	0.4563139075205759	0.14599472421207804	0.043818153552313055
43	0.4730836434449735	0.1483441424473592	0.04693377811408783
44	0.48695317423876056	0.156583033291723	0.04678144333192852
45	0.5273842081273448	0.16579750229607187	0.04932366478460555
46	0.5444143953114082	0.17505353854547934	0.0498464143661639
47	0.5250780057849546	0.1668601020979197	0.05037369758228509
48	0.5239771219366957	0.17783881003305463	0.05036296122838123
49	0.5317692159362687	0.1788046740900056	0.05140949300735239
50	0.5372828173474982	0.18182151466900243	0.05099625893604379
51	0.5336967333863583	0.18360978236734415	0.05089494962368218
52	0.5313151365758432	0.18145884877932453	0.05119611356413046
53	0.5184070533671701	0.18028128220566195	0.05048529317907927
54	0.5352706322539053	0.18266841499746292	0.04962652074091593
55	0.5268254182147188	0.1858770636336451	0.05020518543224238
56	0.5355087398850589	0.18381954544158324	0.05040122630137345
57	0.5257836466558795	0.18330734424160358	0.050715417995267055
58	0.5253890949107265	0.18190491976923295	0.05057265955996234
59	0.5339589103385557	0.18435857478671985	0.05076348297264469
60	0.5195299028768036	0.18036451637298645	0.051150874498797336
