Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.31082262507629116	0.09626908719211676	0.02955990654570201
2	0.3142413900093081	0.09709582400969459	0.030206762373865867
3	0.2980809522562397	0.09560111046258411	0.029743959928179232
4	0.3153673330363927	0.09582498429883064	0.029828730640006556
5	0.3118519047588128	0.09760477436992433	0.030096752895600522
6	0.30824883458414254	0.09821657953696789	0.029526712576867106
7	0.301871024354495	0.09692170421592683	0.02964984242485814
8	0.3003425838492502	0.09757904917788855	0.029914247917471867
9	0.30438484998533444	0.09997711650078606	0.030167028838142117
10	0.3039091253216782	0.1025359083909086	0.031548490606782616
11	0.3077495346419389	0.10412328196584757	0.0314775132369033
12	0.2979657234057144	0.10543570778668075	0.03137048886454456
13	0.3024462990915993	0.10742509871164535	0.031177401434295142
14	0.3035239700756508	0.10422508693506471	0.031107246448705432
15	0.28693317295571696	0.10413302403780877	0.03160865624355323
16	0.26726502562279686	0.09629799887948744	0.030698843830140658
17	0.2371774473712636	0.08627774410146415	0.029486910318319095
18	0.19876071103780565	0.07376738287640099	0.02872313844247652
19	0.1278340440416652	0.04917065742979357	0.024322520911665133
20	0.06699487955901835	0.02788720997088681	0.016289331975889002
21	0.04288929080642272	0.0166176834986842	0.009195459695878639
22	0.04045795678916245	0.012469250996691831	0.007829869127113153
23	0.05515759516999592	0.0124309064598012	0.008349195909668688
24	0.07066342868474865	0.012092550001806207	0.008318710394839056
25	0.0905855070379492	0.012296973123290601	0.008111475862024726
26	0.10961222636551578	0.011632684824902723	0.007805610496290584
27	0.12690697609080437	0.011552768888916399	0.007906880345766271
28	0.13738065347385114	0.011551653774381374	0.00781743583188088
29	0.1447258381976533	0.011699553239017125	0.008141330053452259
30	0.15534590399588566	0.012239848820150683	0.00867874129360626
31	0.1637442779019893	0.012178310243998937	0.008450978467042174
32	0.16184369107760013	0.012447486212743854	0.008862403981108978
33	0.15540060002125416	0.011577716762403953	0.008254531695413632
34	0.15179912129469997	0.01141085854946813	0.00809554118159785
35	0.14676909661263499	0.011995015058676914	0.007840532068829915
36	0.13994044768972946	0.012546542946157938	0.008209330788714107
37	0.12980864846435775	0.015006172134579724	0.008760317594243968
38	0.11800112467977868	0.014519008124172795	0.008680610833701342
39	0.09925016945323091	0.015226869581074585	0.008728028365924716
40	0.08616630255077941	0.015371790212130127	0.009277530225948096
41	0.12734710300429183	0.028996906442741496	0.014853046172599338
42	0.16581882514263327	0.04104891890914912	0.018607715433316598
43	0.19459582469966824	0.05211188491124414	0.02108686911342874
44	0.21124476687935717	0.05754073077928801	0.02235903843381377
45	0.2268464437470909	0.06500117662651711	0.022977738170462118
46	0.2393558491873021	0.06854122796151782	0.02309513290186994
47	0.24858343658438353	0.07180646442829845	0.023799954299517697
48	0.25182716284733003	0.07439006307529114	0.024579805151508316
49	0.2578845106171253	0.0764432343310963	0.02463381806262167
50	0.25361529845375985	0.07670657109618344	0.02470565023569311
51	0.2572543321149427	0.0743524708084654	0.024801377729213158
52	0.2626340560141964	0.07481322101913232	0.02492615244644869
53	0.2654675910214767	0.07595142972703227	0.025073746312684365
54	0.26805019651917655	0.07370412960887349	0.025404888353700562
55	0.27243787900711647	0.07680023822174474	0.025953740653720553
56	0.2811396856724662	0.08036529147799008	0.025285241849204467
57	0.2820652408440746	0.07920150538779713	0.025776779209512105
58	0.27460999560697996	0.07581385122755588	0.026145505810359473
59	0.27576841369295724	0.07704919480412444	0.026018768751606483
60	0.2778370129480678	0.07969373292224965	0.02630283294619736
