Window	CG_Weighted_mC	CHG_Weighted_mC	CHH_Weighted_mC
1	0.4622488840939673	0.1757093132904371	0.04782816568624258
2	0.462417729799691	0.1782543673003951	0.04819591835444264
3	0.45998129716519126	0.1801092386884571	0.04818072997984334
4	0.4606792045999042	0.1814378583087882	0.0486073437406894
5	0.4627731276488612	0.18782487993115127	0.049312915073953606
6	0.4579967726181179	0.18820638054892044	0.049768667033976685
7	0.4613130641074753	0.1902679332764869	0.05093987324694028
8	0.4565230594250189	0.18996634072417365	0.05137523806143399
9	0.4516871443973569	0.18825150984042727	0.05153025492874527
10	0.45441235387768203	0.18925644453095342	0.051636052414560596
11	0.44551142804862964	0.19011354774503922	0.05152224742211631
12	0.4302662709340596	0.18159206039991968	0.04950699738186374
13	0.4148324082659114	0.17743325418663075	0.049631748914636765
14	0.38494642449665245	0.16835242432145078	0.04896145375983818
15	0.3505017199110587	0.15579758973566968	0.04829926766808149
16	0.30736074843537825	0.13161848935589124	0.04552450473118928
17	0.23107755910643993	0.10263823532762884	0.040943867574691116
18	0.14850167065694966	0.06297954644359557	0.030877020963814308
19	0.07146910896672154	0.031596868478833334	0.018456936067184068
20	0.04034488036324677	0.016836940687030292	0.010148766346588399
21	0.03624497512024987	0.013770068749537973	0.00820112666553425
22	0.04964709317476972	0.013060360582180101	0.00795173551203815
23	0.06772584114434615	0.013158893384628619	0.008324496313917837
24	0.08759049857822872	0.013350688245917494	0.008627768444448312
25	0.10538328738956793	0.01302397256017995	0.008469018637091298
26	0.12281734931244663	0.013010080587749523	0.008340997361819638
27	0.13323572133559283	0.013410341311561646	0.008339146788122009
28	0.15068587496556377	0.013856056047451217	0.008390659478539566
29	0.1599040103547885	0.01418993218085806	0.008154291763118406
30	0.16860931221706424	0.015424652716722349	0.008470112910789654
31	0.16770010053732148	0.014243966024724582	0.00815078597034719
32	0.17789143713372715	0.014455476104737897	0.008184245949736567
33	0.17484907824756962	0.013277975926990636	0.00819264902597117
34	0.18473665336552408	0.013954394335667945	0.00844290409024786
35	0.18460022999171063	0.013972309511824415	0.008470670910110613
36	0.17041572781009848	0.01392735338615791	0.00838949748730397
37	0.17191800848952923	0.014370200806434197	0.008297932314955979
38	0.16859089618624018	0.016187662042251343	0.008467743446063143
39	0.15172319556878286	0.015783485088326936	0.00850726514246722
40	0.11841827278576436	0.01637199624294071	0.008772768857061738
41	0.08343989403418348	0.02030494804981815	0.010518298775640712
42	0.1260554038025608	0.032764692237943614	0.015575980239349023
43	0.19688606677255321	0.05410435593045711	0.02217195966041118
44	0.25860357061259004	0.07626781801420346	0.02752446315446831
45	0.30196265720106913	0.0930378043858469	0.03280612746086538
46	0.3369330640945835	0.11160374617842765	0.03542039112339801
47	0.35907759803762657	0.12169795774655096	0.03808123850636635
48	0.3752782536612324	0.1310568904137074	0.039386056035596514
49	0.3837581521526599	0.13572876413930102	0.03955857874335478
50	0.39634815895129405	0.13972534099191336	0.03998211978763725
51	0.3947409642957842	0.14292036912155384	0.04012973284375842
52	0.3979143031780538	0.14301482836717455	0.04032070634416246
53	0.39679315658142467	0.13986573797557758	0.04065369656747668
54	0.4006322364411944	0.14082567266456908	0.04030164797113855
55	0.40324642538700356	0.14231152850466766	0.03980236214878287
56	0.3996387545975333	0.14184021425091872	0.03962048096905727
57	0.4009332665169306	0.1353347786190005	0.039365867587199184
58	0.4085656888027697	0.14436976594854492	0.040539445572584216
59	0.4095939080756545	0.14498939754736792	0.04031691376148852
60	0.4084178982664189	0.14500456535427492	0.04017492608207414
